"";"B";"DR";"freq";"BB";"DDR"
"102";38;7;0,001659055;"B38";"DR7"
"103";38;8;0,001163379;"B38";"DR8"
"104";38;9;1,76e-11;"B38";"DR9"
"105";39;1;0,001721654;"B39";"DR1"
"106";39;10;3,09e-05;"B39";"DR10"
"107";39;11;0,002304501;"B39";"DR11"
"108";39;12;0,000313288;"B39";"DR12"
"109";39;13;0,002640628;"B39";"DR13"
"110";39;14;0,00036915;"B39";"DR14"
"111";39;15;0,000829751;"B39";"DR15"
"112";39;16;0,004031604;"B39";"DR16"
"113";39;3;0,000197537;"B39";"DR3"
"114";39;4;0,001094124;"B39";"DR4"
"115";39;7;0,000794751;"B39";"DR7"
"116";39;8;0,003017384;"B39";"DR8"
"117";40;1;0,002011527;"B40";"DR1"
"118";40;11;0,004506403;"B40";"DR11"
"119";40;12;8,87e-05;"B40";"DR12"
"120";40;13;0,007531614;"B40";"DR13"
"121";40;14;0,000866165;"B40";"DR14"
"122";40;15;0,004170067;"B40";"DR15"
"123";40;16;0,001513495;"B40";"DR16"
"124";40;3;0,001766315;"B40";"DR3"
"125";40;4;0,007286812;"B40";"DR4"
"126";40;7;0,002975891;"B40";"DR7"
"127";40;8;0,001660309;"B40";"DR8"
"128";40;9;0,000273801;"B40";"DR9"
"129";41;1;0,000138996;"B41";"DR1"
"130";41;10;0,000151851;"B41";"DR10"
"131";41;11;0,000371116;"B41";"DR11"
"132";41;12;2,27e-05;"B41";"DR12"
"133";41;13;0,005496277;"B41";"DR13"
"134";41;14;0,000150074;"B41";"DR14"
"135";41;15;7,43e-05;"B41";"DR15"
"136";41;16;0,000122494;"B41";"DR16"
"137";41;3;0,00145233;"B41";"DR3"
"138";41;4;0,001238149;"B41";"DR4"
"139";41;7;0,002086471;"B41";"DR7"
"140";42;1;2,75e-05;"B42";"DR1"
"141";42;10;5,22e-05;"B42";"DR10"
"142";42;11;7,51e-05;"B42";"DR11"
"143";42;12;1,88e-05;"B42";"DR12"
"144";42;13;9,03e-05;"B42";"DR13"
"145";42;14;1,52e-05;"B42";"DR14"
"146";42;15;2,43e-05;"B42";"DR15"
"147";42;16;2,85e-05;"B42";"DR16"
"148";42;3;0,000681632;"B42";"DR3"
"149";42;7;2,75e-05;"B42";"DR7"
"150";42;8;0,000130223;"B42";"DR8"
"151";44;1;0,010685306;"B44";"DR1"
"152";44;10;0,001182699;"B44";"DR10"
"153";44;11;0,00919431;"B44";"DR11"
"154";44;12;0,006115022;"B44";"DR12"
"155";44;13;0,021920417;"B44";"DR13"
"156";44;14;0,001753767;"B44";"DR14"
"157";44;15;0,006162455;"B44";"DR15"
"158";44;16;0,003576876;"B44";"DR16"
"159";44;3;0,003969291;"B44";"DR3"
"160";44;4;0,024260881;"B44";"DR4"
"161";44;7;0,057879748;"B44";"DR7"
"162";44;8;0,003296589;"B44";"DR8"
"163";44;9;0,000372444;"B44";"DR9"
"164";45;1;0,000261954;"B45";"DR1"
"165";45;10;0,002846115;"B45";"DR10"
"166";45;11;0,001034902;"B45";"DR11"
"167";45;12;0,000215656;"B45";"DR12"
"168";45;13;0,001345447;"B45";"DR13"
"169";45;14;0,000190512;"B45";"DR14"
"170";45;15;0,000828301;"B45";"DR15"
"171";45;16;3,09e-05;"B45";"DR16"
"172";45;3;0,000455723;"B45";"DR3"
"173";45;4;0,00249103;"B45";"DR4"
"174";45;7;0,002520112;"B45";"DR7"
"175";45;8;5,38e-05;"B45";"DR8"
"176";45;9;0,000898998;"B45";"DR9"
"177";46;13;2,68e-05;"B46";"DR13"
"178";46;9;2,59e-05;"B46";"DR9"
"179";47;1;0,000117442;"B47";"DR1"
"180";47;10;0,000291426;"B47";"DR10"
"181";47;11;7,88e-05;"B47";"DR11"
"182";47;12;0,000164434;"B47";"DR12"
"183";47;13;0,001083462;"B47";"DR13"
"184";47;14;4,39e-06;"B47";"DR14"
"185";47;15;5,06e-05;"B47";"DR15"
"186";47;16;1,19e-12;"B47";"DR16"
"187";47;4;0,000656927;"B47";"DR4"
"188";47;7;0,000237294;"B47";"DR7"
"189";48;10;3,57e-06;"B48";"DR10"
"190";48;11;0,000712586;"B48";"DR11"
"191";48;12;1,46e-05;"B48";"DR12"
"192";48;14;2,37e-05;"B48";"DR14"
"193";48;15;1,45e-05;"B48";"DR15"
"194";48;3;3,09e-05;"B48";"DR3"
"195";48;4;4,39e-06;"B48";"DR4"
"196";48;7;2,48e-05;"B48";"DR7"
"197";48;9;1,32e-05;"B48";"DR9"
"198";49;1;0,003327042;"B49";"DR1"
"199";49;10;0,001011634;"B49";"DR10"
"200";49;11;0,003665605;"B49";"DR11"
"201";49;12;0,000146569;"B49";"DR12"
"202";49;13;0,007625318;"B49";"DR13"
"203";49;14;0,000161447;"B49";"DR14"
"204";49;15;0,002373543;"B49";"DR15"
"205";49;3;0,00065892;"B49";"DR3"
"206";49;4;0,010770369;"B49";"DR4"
"207";49;7;0,002890076;"B49";"DR7"
"208";49;8;0,001112663;"B49";"DR8"
"209";49;9;0,000197275;"B49";"DR9"
"210";50;1;0,00093691;"B50";"DR1"
"211";50;10;0,000126606;"B50";"DR10"
"212";50;11;0,00224082;"B50";"DR11"
"213";50;12;0,000461701;"B50";"DR12"
"214";50;13;0,003679452;"B50";"DR13"
"215";50;14;0,001998799;"B50";"DR14"
"216";50;15;0,000790487;"B50";"DR15"
"217";50;16;0,000163559;"B50";"DR16"
"218";50;3;0,005349265;"B50";"DR3"
"219";50;4;0,004661537;"B50";"DR4"
"220";50;7;0,0161547;"B50";"DR7"
"221";50;8;0,000936184;"B50";"DR8"
"222";50;9;2e-05;"B50";"DR9"
"223";51;1;0,006440022;"B51";"DR1"
"224";51;10;0,000717657;"B51";"DR10"
"225";51;11;0,017389147;"B51";"DR11"
"226";51;12;0,002292246;"B51";"DR12"
"227";51;13;0,018032734;"B51";"DR13"
"228";51;14;0,003107994;"B51";"DR14"
"229";51;15;0,007576374;"B51";"DR15"
"230";51;16;0,003722076;"B51";"DR16"
"231";51;3;0,003672954;"B51";"DR3"
"232";51;4;0,017696522;"B51";"DR4"
"233";51;7;0,011583973;"B51";"DR7"
"234";51;8;0,012741085;"B51";"DR8"
"235";51;9;0,001915326;"B51";"DR9"
"236";52;1;0,000144564;"B52";"DR1"
"237";52;11;0,000303579;"B52";"DR11"
"238";52;13;0,000599345;"B52";"DR13"
"239";52;14;0,000160548;"B52";"DR14"
"240";52;15;0,005303337;"B52";"DR15"
"241";52;3;0,000172849;"B52";"DR3"
"242";52;4;0,000309062;"B52";"DR4"
"243";52;7;0,000120611;"B52";"DR7"
"244";52;8;0,000239309;"B52";"DR8"
"245";52;9;1,66e-05;"B52";"DR9"
"246";53;1;0,0016692;"B53";"DR1"
"247";53;10;4,49e-05;"B53";"DR10"
"248";53;11;0,000822562;"B53";"DR11"
"249";53;13;0,005462888;"B53";"DR13"
"250";53;14;2e-08;"B53";"DR14"
