;A;C;DR;freq;AA;CC;DDR
113;1;6;11;0,001369799;A1;C6;DR11
112;1;6;10;0,002712134;A1;C6;DR10
111;1;6;1;0,001073422;A1;C6;DR1
110;1;5;8;7,99E-05;A1;C5;DR8
109;1;5;7;0,000775775;A1;C5;DR7
108;1;5;4;0,000996025;A1;C5;DR4
107;1;5;3;0,000276563;A1;C5;DR3
106;1;5;16;2,51E-05;A1;C5;DR16
105;1;5;15;0,0001824;A1;C5;DR15
104;1;5;13;0,000414993;A1;C5;DR13
103;1;5;12;0,000146231;A1;C5;DR12
102;1;5;11;0,000165659;A1;C5;DR11
101;1;5;1;0,000294568;A1;C5;DR1
100;1;4;8;0,000770787;A1;C4;DR8
99;1;4;7;0,0007768;A1;C4;DR7
98;1;4;4;0,002732512;A1;C4;DR4
97;1;4;3;0,000175248;A1;C4;DR3
96;1;4;15;0,00018492;A1;C4;DR15
95;1;4;14;6,34E-05;A1;C4;DR14
94;1;4;13;0,001394065;A1;C4;DR13
93;1;4;12;0,000177464;A1;C4;DR12
92;1;4;11;0,001160787;A1;C4;DR11
91;1;4;10;7,43E-05;A1;C4;DR10
90;1;4;1;0,001008901;A1;C4;DR1
89;1;3;8;0,000109132;A1;C3;DR8
88;1;3;7;0,000204561;A1;C3;DR7
87;1;3;4;0,000346568;A1;C3;DR4
86;1;3;3;0,000117523;A1;C3;DR3
85;1;3;16;9,88E-05;A1;C3;DR16
84;1;3;15;0,000189779;A1;C3;DR15
83;1;3;14;8,26E-05;A1;C3;DR14
82;1;3;13;0,000729314;A1;C3;DR13
81;1;3;11;0,000679527;A1;C3;DR11
80;1;3;1;8,92E-05;A1;C3;DR1
79;1;2;8;5,64E-08;A1;C2;DR8
78;1;2;7;0,000122074;A1;C2;DR7
77;1;2;4;0,000263019;A1;C2;DR4
76;1;2;3;0,000305003;A1;C2;DR3
75;1;2;16;3,20E-05;A1;C2;DR16
74;1;2;15;0,000396641;A1;C2;DR15
73;1;2;14;7,57E-05;A1;C2;DR14
72;1;2;13;0,000264051;A1;C2;DR13
71;1;2;12;1,40E-05;A1;C2;DR12
70;1;2;11;0,000272875;A1;C2;DR11
69;1;2;1;0,000377969;A1;C2;DR1
68;1;18;7;1,41E-05;A1;C18;DR7
67;1;18;4;4,28E-06;A1;C18;DR4
66;1;18;15;5,23E-05;A1;C18;DR15
65;1;18;13;1,76E-05;A1;C18;DR13
64;1;18;1;2,29E-05;A1;C18;DR1
63;1;17;8;1,35E-05;A1;C17;DR8
62;1;17;7;8,92E-05;A1;C17;DR7
61;1;17;4;2,43E-05;A1;C17;DR4
60;1;17;3;0,000112819;A1;C17;DR3
59;1;17;15;9,09E-06;A1;C17;DR15
58;1;17;13;0,000167603;A1;C17;DR13
57;1;17;11;2,61E-05;A1;C17;DR11
56;1;17;10;0,000145327;A1;C17;DR10
55;1;16;9;1,94E-05;A1;C16;DR9
54;1;16;8;3,97E-05;A1;C16;DR8
53;1;16;7;0,000640748;A1;C16;DR7
52;1;16;4;0,001197618;A1;C16;DR4
51;1;16;3;0,000118347;A1;C16;DR3
50;1;16;16;0,000136862;A1;C16;DR16
49;1;16;15;1,84E-05;A1;C16;DR15
48;1;16;13;0,000549211;A1;C16;DR13
47;1;16;12;2,34E-05;A1;C16;DR12
46;1;16;11;3,70E-05;A1;C16;DR11
45;1;16;10;1,61E-05;A1;C16;DR10
44;1;16;1;7,44E-06;A1;C16;DR1
43;1;15;8;8,45E-05;A1;C15;DR8
42;1;15;7;0,001068616;A1;C15;DR7
41;1;15;4;0,00291968;A1;C15;DR4
40;1;15;3;8,44E-05;A1;C15;DR3
39;1;15;16;0,000172444;A1;C15;DR16
38;1;15;15;0,000238171;A1;C15;DR15
37;1;15;14;0,0001408;A1;C15;DR14
36;1;15;13;0,000282088;A1;C15;DR13
35;1;15;12;2,51E-05;A1;C15;DR12
34;1;15;11;0,000298265;A1;C15;DR11
33;1;15;10;1,41E-06;A1;C15;DR10
32;1;15;1;8,82E-05;A1;C15;DR1
31;1;14;8;0,000315497;A1;C14;DR8
30;1;14;7;0,000126012;A1;C14;DR7
29;1;14;4;0,000712336;A1;C14;DR4
28;1;14;3;0,000324221;A1;C14;DR3
27;1;14;16;2,03E-05;A1;C14;DR16
26;1;14;14;0,000129719;A1;C14;DR14
25;1;14;13;0,0002284;A1;C14;DR13
24;1;14;11;0,000400685;A1;C14;DR11
23;1;14;10;3,86E-05;A1;C14;DR10
22;1;14;1;0,000127727;A1;C14;DR1
21;1;12;9;3,23E-05;A1;C12;DR9
20;1;12;8;0,00028842;A1;C12;DR8
19;1;12;7;0,00028178;A1;C12;DR7
18;1;12;4;0,000419762;A1;C12;DR4
17;1;12;3;0,000265906;A1;C12;DR3
16;1;12;16;0,000188864;A1;C12;DR16
15;1;12;15;0,00180655;A1;C12;DR15
14;1;12;14;0,000151506;A1;C12;DR14
13;1;12;13;0,001299086;A1;C12;DR13
12;1;12;11;0,000446135;A1;C12;DR11
11;1;12;10;4,28E-06;A1;C12;DR10
10;1;12;1;0,000241582;A1;C12;DR1
9;1;1;9;0,000154557;A1;C1;DR9
8;1;1;8;7,25E-06;A1;C1;DR8
7;1;1;7;5,84E-05;A1;C1;DR7
6;1;1;4;6,46E-06;A1;C1;DR4
5;1;1;3;4,86E-05;A1;C1;DR3
4;1;1;15;5,44E-05;A1;C1;DR15
3;1;1;14;4,34E-05;A1;C1;DR14
2;1;1;13;0,000235557;A1;C1;DR13
1;1;1;1;0,000154307;A1;C1;DR1
