;C;DR;freq;CC;DDR
136;5;4;0,016104856;C5;DR4
137;5;7;0,006825829;C5;DR7
138;5;8;0,002961195;C5;DR8
139;5;9;0,000106767;C5;DR9
140;6;1;0,003392346;C6;DR1
141;6;10;0,004703306;C6;DR10
142;6;11;0,005034216;C6;DR11
143;6;12;0,000682994;C6;DR12
144;6;13;0,007687509;C6;DR13
145;6;14;0,000824725;C6;DR14
146;6;15;0,002461036;C6;DR15
147;6;16;0,001364693;C6;DR16
148;6;3;0,006330416;C6;DR3
149;6;4;0,012345054;C6;DR4
150;6;7;0,038618989;C6;DR7
151;6;8;0,002125125;C6;DR8
152;6;9;0,000892888;C6;DR9
153;7;1;0,010723686;C7;DR1
154;7;10;0,002346332;C7;DR10
155;7;11;0,020580932;C7;DR11
156;7;12;0,002261767;C7;DR12
157;7;13;0,033124829;C7;DR13
158;7;14;0,003235665;C7;DR14
159;7;15;0,037410553;C7;DR15
160;7;16;0,00649196;C7;DR16
161;7;3;0,055776113;C7;DR3
162;7;4;0,024525718;C7;DR4
163;7;7;0,023488968;C7;DR7
164;7;8;0,009326884;C7;DR8
165;7;9;0,001328023;C7;DR9
166;8;1;0,032351268;C8;DR1
167;8;10;0,000889655;C8;DR10
168;8;11;0,003598293;C8;DR11
169;8;12;0,000316194;C8;DR12
170;8;13;0,00519687;C8;DR13
171;8;14;0,000549874;C8;DR14
172;8;15;0,002133351;C8;DR15
173;8;16;2,10E-08;C8;DR16
174;8;3;0,004698991;C8;DR3
175;8;4;0,003436267;C8;DR4
176;8;7;0,013402401;C8;DR7
177;8;8;0,001677209;C8;DR8
178;8;9;0,000117465;C8;DR9
